Nome Do Pregão,Código,Denominação Social,Segmento De Mercado,Tipo De Capital,Capital R$,Aprovado Em,Qtde Ações Ordinárias,Qtde Ações Preferenciais,Qtde Total De Ações
PANATLANTICA,PATI,PANATLANTICA Sa,BOLSA,Homologado,"450.000.000,00",03/08/2021,22.907.083,1.025.286,23.932.369
PARANÁ,CH,PARANÁ BCO S.A.,BOLSA,Homologado,"767.253.749,27",31/05/2021,1.646.441.694,1.608.551.157,3.254.992.851
PARANAPANEMA,PMAM,PARANAPANEMA S.A.,NOVO MERCADO,Homologado,"2.069.566.247,56",04/09/2019,43.403.849,0,43.403.849
FIP PATR INF,PICE,PATRIA INFRAESTRUTURA ENERGIA CORE FIP INFRA,FIP IE,Homologado,100,16/04/2021,0,6.381.509,6.381.509
PORTOBELLO,PTBL,PBG S/A,NOVO MERCADO,Homologado,"250.000.000,00",16/03/2022,140.986.886,0,140.986.886
PDG SECURIT,PDGS,PDG COMPANHIA SECURITIZADORA,BOLSA,Homologado,"37.380.222,57",24/06/2019,36.292.213,0,36.292.213
PDG REALT,PDGR,PDG REALTY S.A. EMPREEND E PARTICIPAÇÕES,NOVO MERCADO,Homologado,"5.755.849.361,25",01/02/2023,3.221.864,0,3.221.864
PDG REALT,PDGR,PDG REALTY S.A. EMPREEND E PARTICIPAÇÕES,NOVO MERCADO,Subscrito,"439.185.535,23",03/10/2023,74.564.607,0,74.564.607
FIP PERFIN,FINA,PERFIN APOLLO ENERGIA FIP EM INFRAESTRUTURA,FIP IE,Homologado,200,05/11/2020,0,16.938.939,16.938.939
PETZ,PETZ,PET CENTER COMÉRCIO E PARTICIPAÇÕES S.A.,NOVO MERCADO,Homologado,"1.725.426.906,76",31/08/2023,462.523.502,0,462.523.502
PETROBRAS,PETR,PETROLEO BRASILEIRO S.A. PETROBRAS,BOVESPA NIVEL 2,Homologado,"205.431.960.490,52",02/04/2014,7.442.454.142,5.602.042.788,13.044.496.930
PETRORECSA,RECV,PETRORECÔNCAVO S.A.,NOVO MERCADO,Homologado,"2.905.446.304,42",28/09/2023,293.281.126,0,293.281.126
PETTENATI,PTNT,PETTENATI S.A. INDUSTRIA TEXTIL,BOLSA,Homologado,"66.000.000,00",30/10/2018,16.016.924,32.029.564,48.046.488
PCOM 0T5 HY,BHYS,PIMCO 0-5 YEAR HIGH YIELD CORP BOND INDEX EXCH-TF,BOLSA,Homologado,000,15/06/2022,0,157.500.000,157.500.000
PMCO 15 YRTP,BLTP,PIMCO 15 YEAR U.S. TIPS INDEX EXCHANGE-TF,BOLSA,Homologado,000,15/06/2022,0,74.960.000,74.960.000
PMCO 1T5 YRT,BSTP,PIMCO 1TO5 YEAR U.S. TIPS INDEX EXCHANGE-TF,BOLSA,Homologado,000,15/06/2022,0,149.850.000,149.850.000
PCOM 25 YRZC,BZRO,PIMCO 25 YEAR ZERO COUPON US TREASUR INDEX EXCH-TF,BOLSA,Homologado,000,15/06/2022,0,47.640.000,47.640.000
PMCO BROAD,BIPZ,PIMCO BROAD U.S. TIPS INDEX EXCHANGE-TF,BOLSA,Homologado,000,15/06/2022,0,19.980.000,19.980.000
PMCO IGR CPI,BCRP,PIMCO INVESTMENT GRADE CORP BOND INDEX EXCH-TF,BOLSA,Homologado,000,15/06/2022,0,60.300.000,60.300.000
PIMCO MF EME,BMFE,PIMCO RAFI DYNAMIC MULTI-FACTOR EME ETF,BOLSA,Homologado,000,10/10/2022,0,9.040.000,9.040.000
PLANOEPLANO,PLPL,PLANO & PLANO DESENVOLVIMENTO IMOBILIÁRIO S.A.,NOVO MERCADO,Homologado,"175.228.042,27",25/03/2022,204.256.000,0,204.256.000
PLASCAR PART,PLAS,PLASCAR PARTICIPACOES INDUSTRIAIS S.A.,BOLSA,Homologado,"931.454.939,71",13/12/2018,12.425.418,0,12.425.418
FIAGRO PLUR,PLCA,PLURAL CRÉDITO AGRO - FIAGRO - IMOBILIÁRIO,BOLSA,Homologado,100,08/08/2022,0,557.019,557.019
POLO CAP SEC,PLSC,POLO CAPITAL SECURITIZADORA S.A,BOLSA,Homologado,"500.000,00",19/02/2013,500.000,0,500.000
POLPAR,PPAR,POLPAR S.A.,BOLSA,Homologado,"5.300.000,00",27/04/2023,68.000,80.000,148.000
POMIFRUTAS,FRTA,POMIFRUTAS S/A,NOVO MERCADO,Homologado,"143.080.704,05",06/07/2021,2.053.606,0,2.053.606
PORTO SEGURO,PSSA,PORTO SEGURO S.A.,NOVO MERCADO,Homologado,"8.500.000.000,00",20/10/2021,646.586.060,0,646.586.060
FIP PORT SUD,FPOR,PORTO SUDESTE ROYALTIES - FIP-IE,FIP IE,Homologado,100,25/04/2019,0,246.541.513,246.541.513
PORTO VM,PSVM,PORTO SUDESTE V.M. S.A.,BOLSA,Homologado,"2.276.040,10",29/04/2022,132.075.987.101,0,132.075.987.101
POSITIVO TEC,POSI,POSITIVO TECNOLOGIA S.A.,NOVO MERCADO,Homologado,"742.700.000,00",30/01/2020,141.800.000,0,141.800.000
PRATICA,PTCA,PRATICA PRODUTOS S.A.,MAIS NIVEL 2,Homologado,"29.068.287,53",31/08/2018,3.355.031,373.242,3.728.273
CEPAC - CTBA,CTBA,PREFEITURA MUNICIPAL DE CURITIBA,SOMA,Homologado,100,26/06/2012,0,141.588,141.588
CEPAC - PMSP,PMSP,PREFEITURA MUNICIPAL DE SAO PAULO,SOMA,Homologado,100,30/11/2006,0,175.730,175.730
PRINER,PRNR,PRINER SERVIÇOS INDUSTRIAIS S.A.,NOVO MERCADO,Homologado,"250.187.363,48",13/12/2021,38.908.257,0,38.908.257
PETRORIO,PRIO,PRIO S.A.,NOVO MERCADO,Homologado,"5.576.191.454,35",02/01/2023,887.229.147,0,887.229.147
FIP PRISMA,PPEI,PRISMA PROTON ENERGIA FDO. INVEST. PART. INFRA.,FIP IE,Homologado,100,27/08/2020,0,4.410.000,4.410.000
PROMAN,PRMN,PRODUTORES ENERGET.DE MANSO S.A.- PROMAN,SOMA,Homologado,"1.100.000,00",19/10/2001,100.000,0,100.000
PROFARMA,PFRM,PROFARMA DISTRIB PROD FARMACEUTICOS S.A.,NOVO MERCADO,Homologado,"1.043.663.369,72",23/12/2020,123.812.773,0,123.812.773
PROMPT PART,PRPT,PROMPT PARTICIPACOES S.A.,BOLSA,Homologado,"5.878.213,93",28/04/2023,5.921.803.893,0,5.921.803.893
QUALICORP,QUAL,QUALICORP CONSULTORIA E CORRETORA DE SEGUROS S.A.,NOVO MERCADO,Homologado,"896.557.588,73",12/11/2019,284.014.325,0,284.014.325
QUALITY SOFT,QUSW,QUALITY SOFTWARE S.A.,MAIS,Homologado,"37.605.711,18",26/01/2017,861.605,0,861.605
RAIADROGASIL,RADL,RAIA DROGASIL S.A.,NOVO MERCADO,Homologado,"4.000.000.000,00",19/04/2023,1.718.007.200,0,1.718.007.200
RAIZEN ENERG,RESA,RAIZEN ENERGIA S.A.,BOLSA,Homologado,"19.531.609.410,70",03/10/2022,13.120.614.595,0,13.120.614.595
RAIZEN,RAIZ,RAIZEN S.A.,BOVESPA NIVEL 2,Homologado,"6.859.669.990,00",03/09/2021,8.993.572.584,1.358.936.900,10.352.509.484
RANDON PART,RAPT,RANDON S.A. IMPLEMENTOS E PARTICIPACOES,BOVESPA NIVEL 1,Homologado,"1.293.169.864,11",17/12/2021,116.515.527,212.815.006,329.330.533
WTORRE PIC,WTPI,REAL AI PIC SEC DE CREDITOS IMOBILIARIO S.A.,BOLSA,Homologado,"59.406,04",30/04/2012,59.396,10,59.406
RECRUSUL,RCSL,RECRUSUL S.A.,BOLSA,Homologado,"350.000.000,00",07/06/2023,42.655.505,84.633.671,127.289.176
REDE D OR,RDOR,REDE DOR SÃO LUIZ S.A.,NOVO MERCADO,Homologado,"15.711.359.775,89",29/12/2022,2.289.292.590,0,2.289.292.590
REDE ENERGIA,REDE,REDE ENERGIA PARTICIPAÇÕES S.A.,BOLSA,Homologado,"3.223.218.565,94",24/04/2020,2.110.323.374,0,2.110.323.374
PET MANGUINH,RPMG,REFINARIA DE PETROLEOS MANGUINHOS S.A.,BOLSA,Homologado,"208.713.674,85",07/08/2019,67.691.629,0,67.691.629
RENOVA,RNEW,RENOVA ENERGIA S.A.,BOVESPA NIVEL 2,Homologado,"4.170.394.390,17",29/11/2022,124.741.981,124.741.975,249.483.956
AES SUL,AESL,RGE SUL DISTRIBUIDORA DE ENERGIA S.A.,BOLSA,Homologado,"2.831.534.168,58",29/04/2021,1.125.427,0,1.125.427
FIC FI RB ES,RBIF,RIO BRAVO ESG FIC INFRA RENDA FIXA CRÉDITO PRIVADO,BOLSA,Homologado,200,21/07/2023,0,627.605,627.605
GER PARANAP,GEPA,RIO PARANAPANEMA ENERGIA S.A.,BOLSA,Homologado,"839.137.503,80",28/08/2014,31.477.761,62.955.522,94.433.283
FIAGRO RZEO,RZEO,RIZA EOS FDO DE INV NAS CAD PROD - FIAGRO - IMOB,BOLSA,Homologado,100,23/12/2022,0,5.500.000,5.500.000
RNI,RDNI,RNI NEGÓCIOS IMOBILIÁRIOS S.A.,NOVO MERCADO,Homologado,"512.438.000,00",10/11/2015,43.769.808,0,43.769.808
RODOBENS,RBNS,RODOBENS S.A,BOLSA,Homologado,"540.455.673,00",31/12/2020,548.920.372,407.374.120,956.294.492
ROD COLINAS,COLN,RODOVIAS DAS COLINAS S.A.,BOLSA,Homologado,"226.145.401,00",11/03/2013,74.220.000,0,74.220.000
ROMI,ROMI,ROMI S.A.,NOVO MERCADO,Homologado,"917.734.746,04",28/03/2023,88.734.045,0,88.734.045
ROSSI RESID,RSID,ROSSI RESIDENCIAL S.A.,NOVO MERCADO,Homologado,"2.678.339.520,00",22/02/2022,20.000.000,0,20.000.000
ALL NORTE,FRRN,RUMO MALHA NORTE S.A.,SOMA,Homologado,"41.769.007,57",19/07/2023,1.107.698.070,81.714.293,1.189.412.363
RUMO S.A.,RAIL,RUMO S.A.,NOVO MERCADO,Homologado,"12.560.951.962,49",19/07/2023,1.854.868.949,0,1.854.868.949
SAFIRA ENERG,SAEN,SAFIRA HOLDING S.A.,MAIS NIVEL 2,Homologado,"62.879.277,64",13/03/2023,11.010.000,0,11.010.000
SALUS INFRA,SAIP,SALUS INFRAESTRUTURA PORTUARIA SA,BOLSA,Homologado,"20.511.181,50",07/06/2018,420.000,0,420.000
SANESALTO,SNST,SANESALTO SANEAMENTO S.A.,BOLSA,Homologado,"5.353.441,27",28/04/2023,5.353.441,0,5.353.441
SANSUY,SNSY,SANSUY S.A. INDUSTRIA DE PLASTICOS,BOLSA,Homologado,"54.625.000,00",27/07/2020,2.657.920,5.058.480,7.716.400
STO ANTONIO,STEN,SANTO ANTONIO ENERGIA S.A.,BOLSA,Homologado,"11.246.908.058,00",10/06/2022,18.591.936.512,0,18.591.936.512
SANTOS BRP,STBP,SANTOS BRASIL PARTICIPACOES S.A.,NOVO MERCADO,Homologado,"1.879.484.344,39",16/03/2023,864.170.369,0,864.170.369
SAO CARLOS,SCAR,SAO CARLOS EMPREEND E PARTICIPACOES S.A.,NOVO MERCADO,Homologado,"1.073.911.676,48",28/04/2017,57.737.319,0,57.737.319
SAO MARTINHO,SMTO,SAO MARTINHO S.A.,NOVO MERCADO,Homologado,"3.941.717.487,21",28/07/2023,354.011.329,0,354.011.329
SPTURIS,AHEB,SAO PAULO TURISMO S.A.,BOLSA,Homologado,"246.149.586,14",29/04/2020,8.407.877,136.017,8.543.894
SARAIVA LIVR,SLED,SARAIVA LIVREIROS S.A. - EM RECUPERAÇÃO JUDICIAL,BOVESPA NIVEL 2,Homologado,"337.415.680,16",28/09/2022,671.819,8.963.221,9.635.040
SCHULZ,SHUL,SCHULZ S.A.,BOLSA,Homologado,"725.645.620,00",29/03/2023,152.692.764,204.682.016,357.374.780
BRAZIL REALT,BZRS,SECME - CIA SECURIT. CRÉD. IMOBILIÁRIOS,BOLSA,Homologado,"929.189,00",26/06/2020,929.189,0,929.189
ASSAI,ASAI,SENDAS DISTRIBUIDORA S.A.,NOVO MERCADO,Homologado,"1.268.926.061,74",18/08/2023,1.351.463.542,0,1.351.463.542
SEQUOIA LOG,SEQL,SEQUOIA LOGISTICA E TRANSPORTES S.A,NOVO MERCADO,Homologado,"755.817.515,66",24/04/2023,206.985.433,0,206.985.433
SER EDUCA,SEER,SER EDUCACIONAL S.A.,NOVO MERCADO,Homologado,"991.644.172,80",09/05/2019,128.721.560,0,128.721.560
FIAGRO SFI,IAGR,SFI INVESTIMENTOS DO AGRONEGÓCIO - FIAGRO -IMOB,BOLSA,Homologado,200,01/06/2023,0,309.603,309.603
ALIPERTI,APTI,SIDERURGICA J. L. ALIPERTI S.A.,BOLSA,Homologado,"48.964.000,00",29/04/2016,6.250,12.345,18.595
SIMPAR,SIMH,SIMPAR S.A.,NOVO MERCADO,Homologado,"1.174.361.606,43",23/05/2022,838.407.909,0,838.407.909
SINQIA,SQIA,SINQIA S.A.,NOVO MERCADO,Homologado,"813.303.273,84",03/09/2021,87.941.972,0,87.941.972
SLC AGRICOLA,SLCE,SLC AGRICOLA S.A.,NOVO MERCADO,Homologado,"2.012.521.509,85",15/05/2023,226.664.858,0,226.664.858
SMART FIT,SMFT,SMARTFIT ESCOLA DE GINÁSTICA E DANÇA S.A.,NOVO MERCADO,Homologado,"2.970.442.883,60",28/07/2021,586.242.289,0,586.242.289
SONDOTECNICA,SOND,SONDOTECNICA ENGENHARIA SOLOS S.A.,BOLSA,Homologado,"34.200.000,00",10/06/2013,856.000,1.601.900,2.457.900
FIAGRO CRAA,CRAA,SPARTA FIAGRO FDO INV NAS CAD PROD AGRO - IMOB,BOLSA,Homologado,100,14/07/2023,0,494.836,494.836
SPARTA CDII,CDII,SPARTA INFRA CDI FIC FI INFRA RENDA FIXA CP,BOLSA,Homologado,100,25/09/2023,0,776.046,776.046
SPARTA CDII,CDII,SPARTA INFRA CDI FIC FI INFRA RENDA FIXA CP,BOLSA,Subscrito,100,06/09/2023,0,572.355,572.355
SPARTA INFRA,JURO,SPARTA INFRA FIC FI INFRA RENDA FIXA CP,BOLSA,Homologado,200,24/11/2022,0,4.718.219,4.718.219
SPRINGS,SGPS,SPRINGS GLOBAL PARTICIPACOES S.A.,NOVO MERCADO,Homologado,"1.860.263.807,68",21/10/2015,50.000.000,0,50.000.000
STATKRAFT,STKF,STATKRAFT ENERGIAS RENOVAVEIS S.A.,BOLSA,Homologado,"2.622.124.390,53",11/03/2022,454.331.401,0,454.331.401
SUDESTE S/A,OPSE,SUDESTE S.A.,BOLSA,Homologado,"4.509.000,00",28/04/2023,8.184.478.719,0,8.184.478.719
SUL 116 PART,OPTS,SUL 116 PARTICIPACOES S.A.,BOLSA,Homologado,"28.385.040,47",26/12/2014,83.596.902.573,0,83.596.902.573
FIAGRO SUNO,SNAG,SUNO AGRO - FIAGRO-IMOBILIÁRIO,BOLSA,Homologado,100,09/10/2023,0,30.000.000,30.000.000
FIAGRO SUNO,SNAG,SUNO AGRO - FIAGRO-IMOBILIÁRIO,BOLSA,Subscrito,100,29/08/2023,0,16.000.000,16.000.000
SUNO FIC FI,SNID,SUNO INFRA DEBÊNTURES FIC. FDO. INC. IE. RF,BOLSA,Homologado,100,03/02/2023,0,350.000,350.000
SUZANO HOLD,NEMO,SUZANO HOLDING S.A.,BOLSA,Homologado,"4.775.670.351,97",27/04/2023,150.068.292,195.786.314,345.854.606
SUZANO S.A.,SUZB,SUZANO S.A.,NOVO MERCADO,Homologado,"9.269.281.424,63",28/02/2023,1.324.117.615,0,1.324.117.615
